Year,Month,Day,TradingPeriod,PrevAvg$PerMWHr,PrevMed$PerMWHr,SinPeriod,CosPeriod,SinDate,CosDate
2024,8,6,28,563.7190278601067,563.7256820877817,0.8660254037844384,0.5000000000000004,-0.8660254037844385,-0.5000000000000004
2024,8,13,11,613.8277771191464,613.6760972716489,0.258819045102521,-0.9659258262890682,-0.8660254037844385,-0.5000000000000004
2024,8,14,15,985.4040367516304,985.4643297746144,-0.7071067811865471,-0.7071067811865479,-0.8660254037844385,-0.5000000000000004
2024,8,12,14,615.6788796680498,615.5282384341637,-0.4999999999999997,-0.8660254037844388,-0.8660254037844385,-0.5000000000000004
2024,8,10,10,746.2407399723376,746.1992387543252,0.5,-0.8660254037844387,-0.8660254037844385,-0.5000000000000004
2024,8,8,30,868.998174273859,868.9943252595156,1.0,1.1943401194869637e-15,-0.8660254037844385,-0.5000000000000004
2024,7,17,25,631.7677842323652,631.7796262458472,0.2588190451025211,0.9659258262890682,-0.4999999999999997,-0.8660254037844389
2025,2,24,27,618.442417355372,618.6957684355617,0.7071067811865472,0.7071067811865478,0.8660254037844387,0.5000000000000001
2024,5,28,36,583.913625,583.8440083382966,3.673940397442059e-16,-1.0,0.4999999999999999,-0.8660254037844387
2024,8,7,8,852.8894260027663,852.8742076124568,0.8660254037844387,-0.4999999999999998,-0.8660254037844385,-0.5000000000000004
2024,8,10,33,834.5923098201936,834.5679584775086,0.7071067811865471,-0.7071067811865479,-0.8660254037844385,-0.5000000000000004
2024,8,20,1,650.8510650069156,650.8438685121107,0.2588190451025207,0.9659258262890684,-0.8660254037844385,-0.5000000000000004
2024,8,22,15,479.69921161825727,479.43182724252495,-0.7071067811865471,-0.7071067811865479,-0.8660254037844385,-0.5000000000000004
2024,8,12,15,647.955749851808,647.8441518386715,-0.7071067811865471,-0.7071067811865479,-0.8660254037844385,-0.5000000000000004
2024,7,24,36,593.7612744516894,593.5963463819692,3.673940397442059e-16,-1.0,-0.4999999999999997,-0.8660254037844388
2024,8,5,40,879.5685892116181,879.575321799308,-0.8660254037844387,-0.4999999999999998,-0.8660254037844385,-0.5000000000000004
2024,8,2,25,494.8106915629322,494.8515709342561,0.2588190451025211,0.965925826289068,-0.8660254037844385,-0.5000000000000004
2024,8,12,19,475.4677711914641,475.5600889679716,-0.9659258262890684,0.2588190451025203,-0.8660254037844385,-0.5000000000000004
